Participant_ID,Duration (in seconds),Native_English_Speaker,gender,age,educationlevel,educationlevel_7_TEXT,nationality,NEP1,NEP2,NEP3,NEP4,NEP5,NEP6,NEP7,NEP8,NEP9,NEP10,NEP11,NEP12,NEP13,NEP14,NEP15,BFI23,BFI24,BFI25,BFI26,BFI27,BFI28,BFI29,BFI30,BFI31,BFI32,BFI33,BFI12,BFI13,BFI14,BFI15,BFI16,BFI17,BFI18,BFI19,BFI20,BFI21,BFI22,BFI1,BFI2,BFI3,BFI4,BFI5,BFI6,BFI7,BFI8,BFI9,BFI10,BFI11,BFI34,BFI35,BFI36,BFI37,BFI38,BFI39,BFI40,BFI41,BFI42,BFI43,BFI44,Matthew_prompt_1,Matthew_prompt_2,Matthew_prompt_3,Matthew_prompt_4,Matthew_prompt_5,Matthew_prompt_6,Matthew_prompt_7,Matthew_prompt_8,Matthew_prompt_9,Matthew_prompt_10,Matthew_prompt_11,Abi_prompt_1,Abi_prompt_2,Abi_prompt_3,Abi_prompt_4,Abi_prompt_5,Abi_prompt_6,Abi_prompt_7,Abi_prompt_8,Abi_prompt_9,Abi_prompt_10,Susan_Prompt_1,Susan_Prompt_2,Susan_Prompt_3,Susan_Prompt_4,Susan_Prompt_5,Susan_Prompt_6,Susan_Prompt_7,Susan_Prompt_8,Susan_Prompt_9,Susan_Prompt_10,Susan_Prompt_11,Susan_Prompt_12,Claudia_prompt_1,Claudia_prompt_2,Claudia_prompt_3,Claudia_prompt_4,Claudia_prompt_5,Claudia_prompt_6,Claudia_prompt_7,Claudia_prompt_8,Claudia_prompt_9,Claudia_prompt_10,Claudia_prompt_11,Claudia_prompt_12,Greg_prompt_1,Greg_prompt_2,Greg_prompt_3,Greg_prompt_4,Greg_prompt_5,Greg_prompt_6,Greg_prompt_7,Greg_prompt_8,Greg_prompt_9,Greg_prompt_10,Greg_prompt_11
6298946dbedfc20957d2d875,461,Yes,Female,31,Bachelor's Degree,NA,United Kingdom of Great Britain and Northern Ireland,5,2,4,2,5,1,5,2,5,4,5,4,5,2,4,4,2,1,5,1,4,5,1,2,2,4,4,5,5,2,2,2,5,5,2,4,5,4,1,4,4,2,4,4,4,4,4,2,1,2,4,1,4,2,2,1,2,4,1,I think that would be a great thing to do to help the environment.,This would hopefully save you money as well.,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I think this is a great idea, you can give clothes a second life and help prevent the impact of fast fashion.",This may also give you ideas for your internship that are different to the standard clothes that are in stores now.,NA,NA,NA,NA,NA,NA,NA,NA,"I believe everyone should be recycling, it’s the most accessible thing for people to do.",I do believe local councils make it more complicated than it needs to be though.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I definitely recommend getting a reusable bottle, I always have one with me.",I think this would save you a lot of money as well as being beneficial to the environment.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I think that would be a very valuable thing to do.,"There are many meat substitute options now, however I am unsure if this is more sustainable.",This would definitely be worth trying though.,NA,NA,NA,NA,NA,NA,NA,NA
660d6cb402cfcdab984e43f1,1529,Yes,Female,24,Other (please specify),A-Levels,United Kingdom of Great Britain and Northern Ireland,4,4,2,4,4,1,5,4,4,4,4,2,4,2,4,4,2,3,3,5,5,4,4,2,4,5,4,5,4,4,3,2,4,4,1,2,4,2,4,5,3,4,2,4,2,3,4,4,1,2,4,5,4,4,4,4,3,2,4,Have you thought about car sharing with someone who lives and works close to you? That way you will still have the comfort of travelling in your own car on your own schedule but will half the impact that it is having on the environment?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A good way to start recycling is having a separate bin for the items that can be recycled and putting it next to the bin that you usually use. That way it doesn't take anymore effort.,Most items can be recycled these days and packaging does have clear symbols which show you what can be recycled. Perhaps your granddaughter could help you get started?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I would defiantly invest in a good reusable bottle. I have one. Firstly, it will save you so much money. You probably don't realise how much spending a small amount on water each day adds up.",I do think the use of plastic bottles isn't necessary and can so easily be avoided. Especially when we live somewhere where the tap water is usually drinkable so available anywhere. Most public places also have free water fountains.,"I hate when I see plastic thrown in public (i'm not saying you would do this)but it is so harmful to animals and just generally makes the place look untidy. I also think that we will eventually run out of space to dump our rubbish and adding plastics that don't degrade is speeding that process up of filling up landfill. I think that such a small change it has a huge impact and if everyone done it, it would have a huge collective impact.",NA,NA,NA,NA,NA,NA,NA,NA,NA,I think that is a good idea. I'm not an expert on the effect that eating meat has on the environment but I think that reducing consumption of anything that has to be processed in order to be consumed must help.,"I also think that thinking more carefully about the meat that you eat will have an impact. For example, making sure that you are eating meat that is responsibly sourced and is not overly processed will help you reduce your carbon footprint. I don't think contributing to large, corporate, mass producing companies is good and helping local businesses is much for beneficial. Using mass produced meat means it has had to be transported miles to reach the shops etc which has bad impacts on the environment. Whereas buying from a local butcher for example will have much less impact. Therefore, I don't think just simple cutting out meat is necessarily the correct answer. I think we all need to be more considerate to how it has been produced.","I think that if you are hoping to reduce your carbon footprint, meat isn't the only option. If your eating less meat, you will presumably consume more vegetables as substitutes, therefor you will need to consider where they have come from and the impact importing them has had on the environment.",NA,NA,NA,NA,NA,NA,NA,NA
65e1e46f38660e17e038af36,902,Yes,Female,42,High school diploma,NA,United Kingdom of Great Britain and Northern Ireland,2,5,5,3,5,1,5,5,5,4,1,5,5,4,4,4,2,2,4,5,5,4,4,1,5,5,5,5,3,5,5,5,4,2,5,2,4,5,5,5,2,4,4,5,4,2,5,5,1,2,4,5,4,4,5,2,5,4,3,"Matthew you should definitely try different ways to get to work, could you car share?
","or you could take the bus?, maybe even walk if its not too far 
","think of all the things you'll see on the way as you wont have to concentrate on driving and can take things in, even make calls etc that you wouldn't have time for, listen to a pod cast or music",NA,NA,NA,NA,NA,NA,NA,NA,"Second hand clothes are the best, there's so many cool things that no one else will have and you can totally make your own style",you can buy things from charity shops or places like vinted,"then when you decide you no longer need or want some of the clothes, you can sell them back on",NA,NA,NA,NA,NA,NA,NA,"Its so easy Susan, just try keeping your things instead of throwing them away",wash them out and then pop them in the special boxes the council provide and put them out for recycling,or you can keep them in boxes at yours and then take them to special recycling sites. Recycling things can also mean giving furniture to people and clothes etc instead of just throwing them away,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes there great and so much better for the environment than single use plastics,"i have one myself and it keeps my water so much colder than the bottled water at the gym
","you can get some really cool ones and some can be used for hot and cold drinks, therefore stopping the need for coffee cups too",NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm definitely up for doing that with you Greg, we should try different recipes out on each other","we could have meat free dinner parties and get our other friends over, this  will get them to try going meat free too","we could call in at the supermarket on the way home and see what things we could try first, I'm so proud of you for thinking of this",NA,NA,NA,NA,NA,NA,NA,NA
654651ca7a889724c907f144,1046,Yes,Male,52,Bachelor's Degree,NA,United Kingdom of Great Britain and Northern Ireland,3,3,3,3,4,3,5,2,5,4,2,4,4,4,4,3,3,4,3,4,4,3,4,2,4,3,4,4,3,4,3,4,2,3,4,2,4,4,4,4,2,3,2,4,2,2,4,3,3,3,3,3,3,2,4,4,4,2,4,Good idea - what are your options,"I sometimes bicycle to work, it is a long ride so it is good that there are showers at the office","What about public transport, it's a good idea, is it always good for your needs",NA,NA,NA,NA,NA,NA,NA,NA,"Always a good idea, fast fashion is an issue right now","Have you tried any shops, I can never find things in my size, never big enough :-)",Have you looked at online shops for second-hand clothes - one of my friends swaers by ebay for this,NA,NA,NA,NA,NA,NA,NA,Great idea - easy to separate most things - how much effort is it to get the different things to the right recycing locations?,"I like to compost things like plain cardboad boxes - they break down very quickly, also things like used coffee grounds.",Other things like cooked food leftovers are much harder to deal with,NA,NA,NA,NA,NA,NA,NA,NA,NA,Could be a good idea - would save you money and be good for the planet,Why not re-use one of the bottles from the machine,Do you alread have a water bottle - no sense in buying a new one,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May be a good idea, red meat production can be quite demanding of resources.",Don't torture yourself - the occasional treat is ok,"What about local farming, there are two good buchers nearby that are based on the farms so they may be more sustainable.",NA,NA,NA,NA,NA,NA,NA,NA
614f70b55373b6760cb9d5c9,1304,Yes,Male,58,Bachelor's Degree,NA,United States of America,1,2,4,3,5,2,4,4,5,5,3,4,4,3,4,4,1,5,4,4,5,1,5,4,5,5,3,5,4,5,4,4,5,3,5,3,5,4,4,5,2,5,3,5,5,2,5,4,1,5,4,4,5,2,5,5,4,4,4,Do you have other options available to you that you'd be willing to consider? Is there much public transportation infrastructure near you?,Carpooling with a friend/coworker can be an easy way to cut down on your driving.,Riding a bike to and from work even one or two days a week would be a great thing to consider if you're looking to commute more sustainably.,NA,NA,NA,NA,NA,NA,NA,NA,Shopping for second-hand clothing is a great way to act more sustainably. There is an incredible amount of clothing that ends up in landfills every year and buying second-hand can help reduce this problem.,If you aren't interested in second-hand clothing you could also look for brands that actively include recycled materials in their clothing.,NA,NA,NA,NA,NA,NA,NA,NA,Contact the city and see if they have a recycling program in place. You might be able to get bins or trash cans specifically for recycling that wouldn't take much effort to use.,"If your town doesn't have direct pickup of recyclable materials, you could check online to see if there are any recycling centers or drop off stations near you.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"While reusable bottles may seem pricey, the use of single-serve plastic bottles is one of the largest problems we have as a society in terms of adding to the plastic waste problem.",Keeping your water in something other than plastic (metal for example) is also a great way to avoid exposing your drinking water to harsh chemicals that can leach from the disposable bottles.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eating less meat is a good choice to reduce your carbon footprint since raising livestock produces much more greenhouse gases than growing plants.,"There are many other small changes you could consider making that would have an impact as well. When people make multiple changes, even small things can add up to make a significant impact in the aggregate.",A bonus of eating less meat is the health benefits you will most likely reap.,NA,NA,NA,NA,NA,NA,NA,NA
6140bf6523a8f20a2ea1e417,2129,Yes,Male,51,High school diploma,NA,United Kingdom of Great Britain and Northern Ireland,4,4,5,4,5,3,5,5,5,5,4,4,5,5,5,2,1,4,1,5,4,1,4,2,4,2,5,4,2,4,2,4,2,2,4,2,5,2,2,2,1,4,2,4,1,2,4,4,2,3,4,5,4,2,4,4,4,1,4,I cycle into work which can be great when its in the Summer but its not so good when its in the Winter. Its cheap and easy though especially if there is lots of congestion near you. It helps you avoid it!,"Have a look at your local public transport, think of your options, look for what best works for you and well done for giving this some thought!",NA,NA,NA,NA,NA,NA,NA,NA,NA,"My family have always shopped second hand not only for clothes but for furniture too. We have lots of vintage shops near us, most cities have lots of choice. Take your time, buy the odd item and build up the confidence and in time you wont look back.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"That's an amazing idea Susan. I would make sure first that you have the council bins that are allocated to each resident, I can help you find the number to call if you would like-this would make recycling a lot easier from the get go.","Do you drive Susan? if so more of your unwanted items can be recycled at council run depots. I take my old paint and electrical's there, its good and you quickly realise so much can be re-used, its very encouraging.","I am aware that so many other waste can be recycled, batteries can be recycled at super markets as well as plastic etc. old plastic shopping bags can be recycled. I have a bag with my old plastic and take it when I go shopping.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hi Claudia, I think that is a great idea. The water that you are buying must be costing you a lot over a month. I wonder how much you would save buy making a one off purchase of a re-usable water bottle? I got my two children a metal one that is environmentally friendly, they have had it for years now.","I would have a look around on line and see which ones get the best reviews. There are so many now, you will be spoiled for choice.","I have had plastic bottles that were supposed to be environmentally friendly but the tops went a little manky, the glass ones are good but can shatter very easily. The metal ones I think are best, here I found the link, have a look at this.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"I love that you are thinking about this. Its one of the kindest and best things you can do. I know there has been encouragement to go to one meat free meal per week-this is an ok start, its a step in the right direction and can help you build up some confidence to become predominantly plant based which is the ideal.",I would have a google on ''plant based diets for beginners'' I am sure that seeing what you can eat will reassure you that you are on the right path to help the environment as well as your health!,"I would not be too put off meat replacement especially as you are developing different habits/palette etc.  The range of alternative to meat dishes are vast and you can experiment with tofu etc. if you go somewhere like Sainsburies, they have magazines with loads of ideas, there are some great vegetarian magazines full of ideas too.",NA,NA,NA,NA,NA,NA,NA,NA
5bdb390c58b9c400010553cd,1566,Yes,Female,53,High school diploma,NA,United Kingdom of Great Britain and Northern Ireland,2,5,5,3,5,1,5,4,5,3,2,5,5,3,3,3,3,3,4,5,5,1,4,2,5,5,5,5,3,5,5,4,5,4,5,3,4,5,3,5,1,4,4,5,5,2,5,3,2,2,5,5,5,3,5,3,4,4,3,"Well Matthew, sit down and see if it is doable for you?  Can you cycle to work? As you know I have to drive being disabled.  Cycling will certainly keep you fit.",Have you asked anyone at work if you can car share?,I don't know what the local transport is like near you or how much the cost is.  Write down all the other ways you can get there and see which the most sustainable but the best option out of those for you.,NA,NA,NA,NA,NA,NA,NA,NA,I got a couple of lovely dresses from a local charity shop for my holiday last year.  I swear they hadn't even been worn!  Get yourself there you have nothing to lose and I will always come with you.,"In fact I have some clothes I need to get rid of, so you can also look through them before I take them to charity as well.",NA,NA,NA,NA,NA,NA,NA,NA,"Hey don't worry, I recycle a lot.  Let me help you, it's pretty easy once you get started and also let me take that bag for you.","So Susan, do you just bin your plastic bottles from say milk and juices?  Tins from foods too?  They just need a quick rinse out so your bin doesn't smell and then pop them in.  I pop a recyclable bag on the back of the kitchen door for them and take it to the main bin when it's full, saves you trekking outside every time you use one item.  I know you read magazine's they are also recyclable, put them in your relevant bin too.  Now I will make sure your recycling bin is out every other week on a Wednesday before I head to work so that the bin men can empty it for you.",My second idea is clothing.  Do you have any clothes you don't wear anymore?  You can take these to the big recycling bins at the supermarkets or even to the charity stores.  I hope I have helped you Susan.  Just knock on my door if you need any help with anything at all.  Have a lovely day.,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Please do it.  We not on;y spend too much money on bottled water but the plastic we are creating is overwhelming.

","You can fill your reusable bottle up whenever you like straight from the tap, save the planet and save yourself money.","Oh and Claudia, you can always buy a jug and out some in the fridge so it is nice and cold as well before you fill your bottle up",NA,NA,NA,NA,NA,NA,NA,NA,NA,Personally I couldn't do it as it is a massive staple for me and my health conditions.  If it is something you really want to do though set your mind to it.,"It isn't like it used to be, there are now so many amazing recipes for non meat dishes out there.  In fact we had a veggie mousakka last night and it was really delicious","If you are struggling Greg and don't really where to start just call me and I will get you some recipes and help you it's not a problem, good on you for wanting to try this.",NA,NA,NA,NA,NA,NA,NA,NA
61618cbffc5ccf427b976ec7,1414,Yes,Female,36,Bachelor's Degree,NA,United Kingdom of Great Britain and Northern Ireland,4,4,4,3,4,3,5,4,4,4,4,4,4,4,4,2,4,4,2,2,4,4,4,2,4,4,4,5,4,4,3,4,4,4,4,2,4,2,4,5,3,4,2,4,2,4,4,3,4,2,2,4,4,4,4,4,4,2,2,That would be a wonderful idea.,Even if you cut down just one or two days a week that would make a difference.,Do you have a bicycle?,Is there anyone else nearby that goes in the same direction that you could maybe car share with?,Or maybe there is a bus that goes to work?,NA,NA,NA,NA,NA,NA,I'm such a big believer of recycling and re-using.,"I often use second hand sites such as Facebook marketplace, vinted, depop etc to buy second hand clothes and toys etc at a reduced price.",Charity shops are also a great place to look.,NA,NA,NA,NA,NA,NA,NA,It is definitely worth recycling.,"We have a black bin for general waste, a purple bin for paper and cardboard and a green bin for plastics, glass and other recyclables.",I can give you a list of items that ar suitable for each bin if you'd like?,It's also worth keeping separate boxes inside to organise all your rubbish into.,If you need any more help I would be more than happy to.,NA,NA,NA,NA,NA,NA,NA,You would definitely save money in the long run if you did.,"Not only that, you would also cut down on single use plastic which is great for the environment.",You can pick up reusable bottles relatively cheap.,NA,NA,NA,NA,NA,NA,NA,NA,NA,Great idea if it is something you're really interested in doing.,Tell me more about what you know about how reducing meat consumption will reduce carbon.,"I do know that animals, such as cows produce vast amounts of methane which increases green house gasses contributing to global warming so eating less meat would definitely reduce your carbon footprint.",I wonder what other ways there would be to reduce carbon footprint.,"Maybe I could try reducing mine too, maybe walking more often than taking the car for shorter trips.",NA,NA,NA,NA,NA,NA
65b6dfebdf0899edf489e60a,1344,Yes,Male,39,Master's Degree,NA,United Kingdom of Great Britain and Northern Ireland,4,2,4,2,4,1,5,4,5,4,5,5,4,3,4,3,3,5,3,3,4,4,5,3,5,4,3,3,3,5,4,4,3,3,5,4,4,4,2,4,3,5,3,4,3,3,5,5,1,5,4,3,4,2,5,2,2,2,4,If you're not physically moving on a regular basis then this is an excellent excuse to do so Matthew. Studies have shown the net benefits of getting physically activity in on a regular basis. So net net it's a win.,"And then there's the mental health benefits too, you can spend more time pondering and self reflecting if you're not preoccupied with driving.","And then on an environmental level, one less car on the road when it's not necessary is never a bad thing.",NA,NA,NA,NA,NA,NA,NA,NA,"You can do whatever pleases you Abi. Ultimately, you'd know best what makes you happy and feels more like you.",There's certain items that you can find only second hand. Say if you're going for an 80s/90s aesthetic or whatnot and want it to come off as authentic.,"On the other hand, it can be just as expensive and then there's the hassles involved in finding them. But then again, that in itself could be pleasurable.",NA,NA,NA,NA,NA,NA,NA,"Every behaviour can become habit, one step at a time. How about placing a recycling bin in the kitchen and get in the habit of throwing just your drink cans in them to begin with.",And soon after you'll probably find yourself throwing other recyclables in there too.,"Ultimately, there's no downside risk for you to start building this habit, and it might be good for the environment too.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"If you do decide to buy a reusable bottle, go for one that's not plastic. At least that could reduce your exposure to microplastics which can cause all sorts of hormonal abnormalities and whatnot.","On the other hand, there's hassles with reusable bottles, keeping them clean, remembering to bring them, and that smell that sometimes builds up on them.",Make sure you get a wide head one so it's easier to clean and get one of those bottle brushes for it.,NA,NA,NA,NA,NA,NA,NA,NA,NA,"You can do whatever you like Greg, it's your body.",But be aware that if you're going to cut meat out of your diet you'll have to supplement to make sure you get the full range of amino acids and the micro nutrients that you would be missing. Also make sure you get blood tests on a regular basis to make sure you're not at risk of missing any specific vitamins.,"On an environmental level, I can't comment on the carbon footprint impact that meat has. It might be over-exaggerated.",NA,NA,NA,NA,NA,NA,NA,NA
60abcd6f3e5efd9fca235828,3543,Yes,Male,47,High school diploma,NA,South Africa,2,2,5,1,5,1,5,4,5,5,2,4,5,2,5,5,1,5,5,4,5,2,4,5,5,5,5,5,2,5,5,5,5,2,5,5,5,5,2,5,1,5,5,5,5,2,5,5,2,2,5,4,5,1,5,4,5,5,4,Matthew I think You should not drive to work because the more you drive your car the greater your carbon footprint becomes and it it very sustainable.,You should think about all the carbon dioxide your car is producing and how you will be savinging humans and animals from being poisoned.,You can use a care pool with your colleagues from work which will be  very sustained  and a benefit to you because you will be saving on gas.,NA,NA,NA,NA,NA,NA,NA,NA,You should be buyinging second hand clothes cause it reduces your carbon footprint. The more people buy second hand clothes the less clothing factories have to produce clothes witch is good for the environment.,Millions of tons of clothes are burned every year with produces poisonous gas that is released in the environment.,It will  be doing good for the environment and also save you a lot of money,NA,NA,NA,NA,NA,NA,NA,It's the best thing you can do for the planet. Recycling reduces your carbon footprint.,I recycle all my kitchen scraps. It goes into my garden and provides fertilizer for my plants. You should give it a try.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes most definitely. The plastic bottles that we buy water is no good for the environment.,You will be reducing your carbon footprint by using a reusable water bottle.,If I were you I would use a water bottle made from glass because it will last you a long time and you do not need to worry about  the pollution caused by these water bottles.,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decently. Farming animals releases a lot methane gas in the environment with is very bad.,Trucks transporting those animals also  produce a lot of carbon dioxide with is not good at all. You will be doing a very good thing by not eating less meat.,NA,NA,NA,NA,NA,NA,NA,NA,NA
